SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,service_count,avg_charge_per_service,monthly_to_total_ratio,is_automatic_payment,charges_diff,is_month_to_month,senior_x_month_to_month,tenure_x_contract,tenure_x_dependents,tenure_x_partner,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,customerID
0,1,29.85,29.85,0,1,14.925,0.9675850891410048,0,0.0,1,0,1,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,7590-VHVEG
0,34,56.95,1889.5,0,3,14.2375,0.03012430573922243,0,-46.80000000000018,0,0,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,5575-GNVDE
0,2,53.85,108.15,1,3,13.4625,0.4933577645442052,0,0.45000000000000284,1,0,2,0,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3668-QPYBK
0,45,42.3,1840.75,0,3,10.575,0.022967286548119994,1,-62.74999999999977,0,0,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,7795-CFOCW
0,2,70.7,151.65,1,1,35.35,0.46315099901735995,0,10.25,1,0,2,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,9237-HQITU
0,8,99.65,820.5,1,5,16.608333333333334,0.12130249543517956,0,23.299999999999955,1,0,8,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,9305-CDSKC
0,22,89.1,1949.4,0,4,17.82,0.04568293683347005,1,-10.799999999999727,1,0,22,22,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,1452-KIOVK
0,10,29.75,301.9,0,1,14.875,0.09821723341036646,0,4.399999999999977,1,0,10,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6713-OKOMC
0,28,104.8,3046.05,1,6,14.971428571428572,0.03439392199012159,0,111.65000000000009,1,0,28,0,28,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,7892-POOKP
0,62,56.15,3487.95,0,3,14.0375,0.01609366714914229,1,6.650000000000091,0,0,0,62,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6388-TABGU
